Search Keyword,Product,Manufacturer,CAS,Link,Status
damnacanthal,Damnacanthal,"AK Scientific, Inc.",,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=33581256&name=Damnacanthal,Success
damnacanthal,Damnacanthal,Angene International Limited,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=35067190&name=Damnacanthal,Success
damnacanthal,Damnacanthal,ChemScene LLC,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=34237679&name=Damnacanthal,Success
damnacanthal,Damnacanthal,COMBI-BLOCKS,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=33021548&name=Damnacanthal,Success
damnacanthal,Damnacanthal,EMD Millipore,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=34078236&name=Damnacanthal,Success
damnacanthal,Damnacanthal,MedChemexpress LLC,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=34620847&name=Damnacanthal,Success
danthron,Damnacanthal,"AK Scientific, Inc.",,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=33581256&name=Damnacanthal,Success
danthron,Damnacanthal,Angene International Limited,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=35067190&name=Damnacanthal,Success
danthron,Damnacanthal,ChemScene LLC,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=34237679&name=Damnacanthal,Success
danthron,Damnacanthal,COMBI-BLOCKS,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=33021548&name=Damnacanthal,Success
danthron,Damnacanthal,EMD Millipore,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=34078236&name=Damnacanthal,Success
danthron,Damnacanthal,MedChemexpress LLC,477-84-9,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=34620847&name=Damnacanthal,Success
DAPI,Danthron,ChemScene LLC,117-10-2,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=34256394&name=Danthron,Success
DAPI,"Danthron (1,8-Dihydroxyanthracene-9,10-dione)",LGC Limited,117-10-2,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=35627223&name=Danthron%20(1%2C8-Dihydroxyanthracene-9%2C10-dione),Success
DAPI,Danthron BP,Science Lab,117-10-2,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=30030984&name=Danthron%20BP,Success
DAPI,Danthrone,Sigma Aldrich,117-10-2,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=32199197&name=Danthrone,Success
Avlosulfone,DAPI,Abcam Inc,,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=35525314&name=DAPI,Success
Avlosulfone,DAPI,affymetrix,28718-90-3,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=30204727&name=DAPI,Success
Avlosulfone,DAPI,AppliChem,28718-90-3,https://www.chemicalsafety.com/sds1/sdsviewer.php?id=30586087&name=DAPI,Success
